session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm
20260501-204738,-Or_ITHmnCeTTvqu9-0g,2026-05-01 20:49:40+00:00,1777668580000,120,25.79715,36.85396,1009.57001,49460
20260501-204738,-Or_IVj-ItE8GjhVfH4S,2026-05-01 20:49:50+00:00,1777668590000,130,25.75246,36.88919,1009.58002,49695
20260501-204738,-Or_IYAi3z_TSWIs1mtZ,2026-05-01 20:50:00+00:00,1777668600000,140,25.71094,36.90202,1009.57001,50322
20260501-204738,-Or_I_bWD7wSea0Rto24,2026-05-01 20:50:10+00:00,1777668610000,150,25.67005,36.99443,1009.57001,50687
20260501-204738,-Or_Ic2eHQmo9-VG--JE,2026-05-01 20:50:20+00:00,1777668620000,160,25.62917,37.0187,1009.56,51027
20260501-204738,-Or_IeUwgqtDi7Au9cqk,2026-05-01 20:50:30+00:00,1777668630000,170,25.59145,37.12856,1009.57001,51561
20260501-204738,-Or_IiDNn3fab6-YG7wZ,2026-05-01 20:50:40+00:00,1777668640000,180,25.5531,37.28394,1009.56,51816
20260501-204738,-Or_IjNNlEF-oIxHLTe7,2026-05-01 20:50:50+00:00,1777668650000,190,25.51697,37.29164,1009.54999,52367
20260501-204738,-Or_Ilom_VSEi0StfzP1,2026-05-01 20:51:00+00:00,1777668660000,200,25.48179,37.24821,1009.53998,52763
20260501-204738,-Or_IoFsummWk9AGOMOM,2026-05-01 20:51:10+00:00,1777668670000,210,25.44724,37.21625,1009.53003,53097
20260501-204738,-Or_IqhC9afPgV12Himj,2026-05-01 20:51:20+00:00,1777668680000,220,25.41142,37.24673,1009.52002,53504
20260501-204738,-Or_It8MvxLztajeJyT-,2026-05-01 20:51:30+00:00,1777668690000,230,25.37751,37.32864,1009.52002,53814
20260501-204738,-Or_Iv_gXaekErMH8rq7,2026-05-01 20:51:40+00:00,1777668700000,240,25.34328,37.30238,1009.52002,53883
20260501-204738,-Or_Iy0rZNcutmHP0vXH,2026-05-01 20:51:50+00:00,1777668710000,250,25.31127,37.29913,1009.52002,54267
20260501-204738,-Or_J-TQPL5kWZsZAbdw,2026-05-01 20:52:00+00:00,1777668720000,260,25.28053,37.37566,1009.52002,54728
20260501-204738,-Or_J1uiyJNAM3et8XFV,2026-05-01 20:52:10+00:00,1777668730000,270,25.25232,37.33864,1009.52002,54980
20260501-204738,-Or_J4LgeCj-AOzJg5jv,2026-05-01 20:52:20+00:00,1777668740000,280,25.22569,37.38146,1009.52002,55124
20260501-204738,-Or_J6mv7EdBoaILvO4P,2026-05-01 20:52:30+00:00,1777668750000,290,25.20192,37.45304,1009.53003,55563
20260501-204738,-Or_J9ECPBC1zeolMw0O,2026-05-01 20:52:40+00:00,1777668760000,300,25.17847,37.41649,1009.53003,55934
20260501-204738,-Or_JBfZQGvvMmt9hZoR,2026-05-01 20:52:50+00:00,1777668770000,310,25.15597,37.45405,1009.53003,56159
20260501-204738,-Or_JE6lGldmCbYLx5mC,2026-05-01 20:53:00+00:00,1777668780000,320,25.1341,37.45752,1009.53003,56159
20260501-204738,-Or_JGYvVMj5oJRIHnI-,2026-05-01 20:53:10+00:00,1777668790000,330,25.11191,37.46094,1009.52002,56500
20260501-204738,-Or_JJ-AxK-ILmQICdOz,2026-05-01 20:53:20+00:00,1777668800000,340,25.09068,37.48725,1009.51001,56692
20260501-204738,-Or_JLRaUbNAZ00ZX1YD,2026-05-01 20:53:30+00:00,1777668810000,350,25.06881,37.52488,1009.51001,57039
