session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260507-134110,1778161275,2026-05-07 13:41:15+00:00,1778161275000,3,26.22187,43.37868,10.08033,95248,True,68.02559,0
20260507-134110,1778161287,2026-05-07 13:41:27+00:00,1778161287000,15,26.8646,39.13565,10.08079,4811490,True,0.0,0
20260507-134110,1778161299,2026-05-07 13:41:39+00:00,1778161299000,27,26.54765,40.38708,10.08055,77311,True,0.0,0
20260507-134110,1778161311,2026-05-07 13:41:51+00:00,1778161311000,39,26.40819,41.85105,10.08037,78470,True,68.61735,0
20260507-134110,1778161323,2026-05-07 13:42:03+00:00,1778161323000,51,26.39551,42.02262,10.08059,80817,True,69.873,0
20260507-134110,1778161335,2026-05-07 13:42:15+00:00,1778161335000,63,26.38283,42.05984,10.0806,83227,True,70.98064,0
20260507-134110,1778161347,2026-05-07 13:42:27+00:00,1778161347000,75,26.38283,41.99671,10.08049,84915,True,72.05116,0
20260507-134110,1778161359,2026-05-07 13:42:39+00:00,1778161359000,87,26.37523,42.05839,10.08051,86672,True,73.12141,0
20260507-134110,1778161371,2026-05-07 13:42:51+00:00,1778161371000,99,26.37016,42.1059,10.08043,87578,True,74.30536,0
20260507-134110,1778161383,2026-05-07 13:43:03+00:00,1778161383000,111,26.36762,42.08778,10.08035,89259,True,75.52722,0
20260507-134110,1778161395,2026-05-07 13:43:15+00:00,1778161395000,123,26.37016,42.05428,10.08064,89929,True,76.86935,0
20260507-134110,1778161407,2026-05-07 13:43:27+00:00,1778161407000,135,26.37016,42.07591,10.08064,90220,True,78.342,0
20260507-134110,1778161419,2026-05-07 13:43:39+00:00,1778161419000,147,26.27634,42.72557,10.08044,77814,True,82.77994,0
20260507-134110,1778161431,2026-05-07 13:43:51+00:00,1778161431000,159,26.35494,42.17145,10.08071,86942,True,86.01601,0
20260507-134110,1778161443,2026-05-07 13:44:03+00:00,1778161443000,171,26.36002,42.09604,10.08067,90026,True,86.11739,0
20260507-134110,1778161455,2026-05-07 13:44:15+00:00,1778161455000,183,26.36508,42.12015,10.08077,91502,True,86.72653,0
20260507-134110,1778161468,2026-05-07 13:44:28+00:00,1778161468000,196,26.26873,42.79361,10.08074,78397,True,93.63754,0
20260507-134110,1778161480,2026-05-07 13:44:40+00:00,1778161480000,208,26.34987,42.24841,10.08087,87578,True,98.0602,0
20260507-134110,1778161492,2026-05-07 13:44:52+00:00,1778161492000,220,26.35748,42.12889,10.08078,90709,True,96.8064,0
20260507-134110,1778161504,2026-05-07 13:45:04+00:00,1778161504000,232,26.36002,42.10874,10.08067,92207,True,96.82221,0
20260507-134110,1778161516,2026-05-07 13:45:16+00:00,1778161516000,244,26.35748,42.08274,10.08094,93337,True,97.3705,0
20260507-134110,1778161528,2026-05-07 13:45:28+00:00,1778161528000,256,26.36508,42.0528,10.08085,94177,True,98.90445,0
20260507-134110,1778161538,2026-05-07 13:45:38+00:00,1778161538000,266,26.29155,42.51503,10.08106,85434,True,106.56548,0
20260507-134110,1778161550,2026-05-07 13:45:50+00:00,1778161550000,278,26.35241,42.15463,10.08083,91802,True,111.07188,0
20260507-134110,1778161562,2026-05-07 13:46:02+00:00,1778161562000,290,26.36762,42.03816,10.08093,94283,True,109.58055,0
20260507-134110,1778161574,2026-05-07 13:46:14+00:00,1778161574000,302,26.36002,42.02406,10.08083,95032,True,109.56806,0
20260507-134110,1778161586,2026-05-07 13:46:26+00:00,1778161586000,314,26.36255,41.99536,10.08108,95574,True,107.48235,0
20260507-134110,1778161598,2026-05-07 13:46:38+00:00,1778161598000,326,26.36508,41.97177,10.08094,94900,True,108.55557,0
20260507-134110,1778161611,2026-05-07 13:46:51+00:00,1778161611000,339,26.26873,42.6424,10.08083,82979,True,118.69787,0
20260507-134110,1778161623,2026-05-07 13:47:03+00:00,1778161623000,351,26.34734,42.1354,10.08104,91502,True,121.1921,0
20260507-134110,1778161635,2026-05-07 13:47:15+00:00,1778161635000,363,26.35241,42.06747,10.08083,93965,True,113.57525,0
20260507-134110,1778161647,2026-05-07 13:47:27+00:00,1778161647000,375,26.35748,42.04789,10.08092,94632,True,109.64346,0
20260507-134110,1778161658,2026-05-07 13:47:38+00:00,1778161658000,386,26.41292,41.89756,10.08095,94954,True,109.15833,0
20260507-134110,1778161670,2026-05-07 13:47:50+00:00,1778161670000,398,26.33212,42.18622,10.08094,89449,True,125.28417,0
20260507-134110,1778161682,2026-05-07 13:48:02+00:00,1778161682000,410,26.34734,42.04936,10.08097,93546,True,116.28072,0
20260507-134110,1778161694,2026-05-07 13:48:14+00:00,1778161694000,422,26.35241,42.05278,10.08093,95465,True,109.53065,0
20260507-134110,1778161706,2026-05-07 13:48:26+00:00,1778161706000,434,26.35241,42.07745,10.08091,95008,True,108.82068,0
20260507-134110,1778161807,2026-05-07 13:50:07+00:00,1778161807000,535,26.27127,42.57272,10.08092,61253,True,213.15715,0
20260507-134110,1778161865,2026-05-07 13:51:05+00:00,1778161865000,593,26.3467,42.31248,10.08104,65723,True,208.23615,0
20260507-134110,1778161878,2026-05-07 13:51:18+00:00,1778161878000,606,26.23577,42.7491,10.08065,52269,True,251.55347,0
20260507-134110,1778161890,2026-05-07 13:51:30+00:00,1778161890000,618,26.27888,42.26923,10.08082,69775,True,209.48328,0
20260507-134110,1778161902,2026-05-07 13:51:42+00:00,1778161902000,630,26.29409,42.18427,10.08073,78988,True,170.89038,0
20260507-134110,1778161914,2026-05-07 13:51:54+00:00,1778161914000,642,26.30423,42.16578,10.08089,84062,True,147.74002,0
20260507-134110,1778161926,2026-05-07 13:52:06+00:00,1778161926000,654,26.31184,42.13314,10.08072,87578,True,133.57767,0
20260507-134110,1778161938,2026-05-07 13:52:18+00:00,1778161938000,666,26.31944,42.09301,10.08073,90026,True,124.90305,0
20260507-134110,1778161950,2026-05-07 13:52:30+00:00,1778161950000,678,26.31944,42.10937,10.0807,91802,True,118.85816,0
20260507-134110,1778161962,2026-05-07 13:52:42+00:00,1778161962000,690,26.23323,42.66073,10.08048,81764,True,125.77972,0
20260507-134110,1778161974,2026-05-07 13:52:54+00:00,1778161974000,702,26.31691,42.15434,10.08068,89929,True,125.79839,0
20260507-134110,1778161986,2026-05-07 13:53:06+00:00,1778161986000,714,26.31944,42.0686,10.08044,93441,True,116.73145,0
20260507-134110,1778161998,2026-05-07 13:53:18+00:00,1778161998000,726,26.32705,42.06616,10.08065,94709,True,111.52481,0
20260507-134110,1778162010,2026-05-07 13:53:30+00:00,1778162010000,738,26.33466,42.04659,10.08061,94419,True,108.76041,0
20260507-134110,1778162022,2026-05-07 13:53:42+00:00,1778162022000,750,26.33466,42.00819,10.08065,94954,True,108.73666,0
20260507-134110,1778162033,2026-05-07 13:53:53+00:00,1778162033000,761,26.25352,42.55044,10.08053,87214,True,114.57033,0
20260507-134110,1778162045,2026-05-07 13:54:05+00:00,1778162045000,773,26.23831,42.75179,10.08058,80584,True,126.83374,0
20260507-134110,1778162057,2026-05-07 13:54:17+00:00,1778162057000,785,26.31437,42.20549,10.08055,91103,True,124.24376,0
20260507-134110,1778162074,2026-05-07 13:54:34+00:00,1778162074000,802,26.38193,42.01945,10.08053,92717,True,121.01208,0
20260507-134110,1778162086,2026-05-07 13:54:46+00:00,1778162086000,814,26.29916,42.30552,10.08062,84743,True,140.31599,0
20260507-134110,1778162099,2026-05-07 13:54:59+00:00,1778162099000,827,26.3642,42.10151,10.08053,87123,True,136.77307,0
20260507-134110,1778162112,2026-05-07 13:55:12+00:00,1778162112000,840,26.20788,42.97017,10.08069,70420,True,156.99339,0
20260507-134110,1778162124,2026-05-07 13:55:24+00:00,1778162124000,852,26.3017,42.28155,10.08069,85522,True,146.01311,0
20260507-134110,1778162136,2026-05-07 13:55:36+00:00,1778162136000,864,26.31437,42.11699,10.08072,91602,True,126.36007,0
20260507-134110,1778162149,2026-05-07 13:55:49+00:00,1778162149000,877,26.37941,41.92958,10.08088,92207,True,122.86862,0
20260507-134110,1778162168,2026-05-07 13:56:08+00:00,1778162168000,896,26.27363,42.69948,10.08067,77311,True,133.76276,0
20260507-134110,1778162180,2026-05-07 13:56:20+00:00,1778162180000,908,26.18759,43.02169,10.08077,63771,True,169.78381,0
20260507-134110,1778162282,2026-05-07 13:58:02+00:00,1778162282000,1010,26.24845,42.4703,10.08092,58678,True,236.8705,0
20260507-134110,1778162306,2026-05-07 13:58:26+00:00,1778162306000,1034,26.31316,42.23681,10.081,62956,True,227.80116,0
20260507-134110,1778162316,2026-05-07 13:58:36+00:00,1778162316000,1044,26.16224,42.945,10.08078,54764,True,236.95372,0
20260507-134110,1778162328,2026-05-07 13:58:48+00:00,1778162328000,1056,26.26113,42.25242,10.081,72745,True,197.70393,0
20260507-134110,1778162340,2026-05-07 13:59:00+00:00,1778162340000,1068,26.25605,42.40717,10.08108,75841,True,177.03181,0
20260507-134110,1778162351,2026-05-07 13:59:11+00:00,1778162351000,1079,26.19267,42.6762,10.08088,73511,True,170.03345,0
20260507-134110,1778162363,2026-05-07 13:59:23+00:00,1778162363000,1091,26.28141,42.17814,10.08109,84316,True,149.81686,0
20260507-134110,1778162376,2026-05-07 13:59:36+00:00,1778162376000,1104,26.2662,42.25699,10.08117,83393,True,143.66663,0
20260507-134110,1778162388,2026-05-07 13:59:48+00:00,1778162388000,1116,26.28395,42.04477,10.08079,90026,True,129.09727,0
20260507-134110,1778162400,2026-05-07 14:00:00+00:00,1778162400000,1128,26.30423,41.9732,10.08112,92923,True,118.15965,0
20260507-134110,1778162412,2026-05-07 14:00:12+00:00,1778162412000,1140,26.3093,41.98495,10.08101,94709,True,111.94621,0
20260507-134110,1778162424,2026-05-07 14:00:24+00:00,1778162424000,1152,26.32198,41.99875,10.08116,94259,True,108.76013,0
20260507-134110,1778162436,2026-05-07 14:00:36+00:00,1778162436000,1164,26.32452,42.0248,10.08101,95605,True,107.24445,0
20260507-134110,1778162448,2026-05-07 14:00:48+00:00,1778162448000,1176,26.32959,42.02164,10.08119,96820,True,104.94277,0
20260507-134110,1778162460,2026-05-07 14:01:00+00:00,1778162460000,1188,26.32705,42.02448,10.08114,97667,True,102.89047,0
20260507-134110,1778162471,2026-05-07 14:01:11+00:00,1778162471000,1199,26.24845,42.50203,10.08122,89449,True,108.5305,0
20260507-134110,1778162483,2026-05-07 14:01:23+00:00,1778162483000,1211,26.31944,42.10361,10.08121,94206,True,110.62921,0
20260507-134110,1778162493,2026-05-07 14:01:33+00:00,1778162493000,1221,26.24845,42.49705,10.08118,88880,True,114.58926,0
20260507-134110,1778162505,2026-05-07 14:01:45+00:00,1778162505000,1233,26.31691,42.05282,10.08134,94954,True,111.02448,0
20260507-134110,1778162517,2026-05-07 14:01:57+00:00,1778162517000,1245,26.38122,41.87078,10.0814,95878,True,109.4021,0
20260507-134110,1778162530,2026-05-07 14:02:10+00:00,1778162530000,1258,26.28042,42.60111,10.08138,82570,True,119.56039,0
20260507-134110,1778162542,2026-05-07 14:02:22+00:00,1778162542000,1270,26.29155,42.21229,10.0813,86404,True,138.47919,0
20260507-134110,1778162554,2026-05-07 14:02:34+00:00,1778162554000,1282,26.31184,42.03175,10.08158,93860,True,120.35972,0
20260507-134110,1778162564,2026-05-07 14:02:44+00:00,1778162564000,1292,26.24845,42.42928,10.0815,87762,True,120.07861,0
20260507-134110,1778162576,2026-05-07 14:02:56+00:00,1778162576000,1304,26.31184,42.06719,10.08142,95683,True,112.92502,0
20260507-134110,1778162588,2026-05-07 14:03:08+00:00,1778162588000,1316,26.32198,41.97694,10.08165,96486,True,107.07455,0
20260507-134110,1778162600,2026-05-07 14:03:20+00:00,1778162600000,1328,26.32705,41.98072,10.08161,98761,True,101.16675,0
20260507-134110,1778162612,2026-05-07 14:03:32+00:00,1778162612000,1340,26.32959,41.96457,10.08183,99761,True,98.20657,0
20260507-134110,1778162624,2026-05-07 14:03:44+00:00,1778162624000,1352,26.33466,41.99512,10.08159,100119,True,96.23163,0
20260507-134110,1778162636,2026-05-07 14:03:56+00:00,1778162636000,1364,26.33212,41.99577,10.08148,100782,True,95.00131,0
20260507-134110,1778162648,2026-05-07 14:04:08+00:00,1778162648000,1376,26.34227,41.96786,10.08157,100903,True,93.39755,3
20260507-134110,1778162660,2026-05-07 14:04:20+00:00,1778162660000,1388,26.25099,42.51118,10.08191,91103,True,92.54815,3
20260507-134110,1778162672,2026-05-07 14:04:32+00:00,1778162672000,1400,26.32452,42.01094,10.08167,97214,True,96.0701,3
20260507-134110,1778162684,2026-05-07 14:04:44+00:00,1778162684000,1412,26.33212,41.94059,10.08178,100359,True,90.18376,3
20260507-134110,1778162696,2026-05-07 14:04:56+00:00,1778162696000,1424,26.33466,41.89161,10.08173,101025,True,86.67131,3
20260507-134110,1778162708,2026-05-07 14:05:08+00:00,1778162708000,1436,26.33973,41.87349,10.08178,101947,True,83.97073,3
20260507-134110,1778162720,2026-05-07 14:05:20+00:00,1778162720000,1448,26.31437,42.14783,10.08188,95933,True,91.2924,3
20260507-134110,1778162732,2026-05-07 14:05:32+00:00,1778162732000,1460,26.33212,41.94163,10.08171,100000,True,89.70271,3
20260507-134110,1778162744,2026-05-07 14:05:44+00:00,1778162744000,1472,26.33973,41.93856,10.08178,102009,True,85.27689,3
20260507-134110,1778162756,2026-05-07 14:05:56+00:00,1778162756000,1484,26.33719,41.94896,10.08186,102823,True,82.3901,3
20260507-134110,1778162768,2026-05-07 14:06:08+00:00,1778162768000,1496,26.33973,41.95673,10.08194,103522,True,81.07416,3
20260507-134110,1778162780,2026-05-07 14:06:20+00:00,1778162780000,1508,26.25352,42.53842,10.08188,91602,True,89.75885,3
20260507-134110,1778162792,2026-05-07 14:06:32+00:00,1778162792000,1520,26.32452,42.04605,10.08175,98298,True,93.47711,3
20260507-134110,1778162804,2026-05-07 14:06:44+00:00,1778162804000,1532,26.33719,41.96244,10.0819,101025,True,87.67044,3
20260507-134110,1778162817,2026-05-07 14:06:57+00:00,1778162817000,1545,26.31184,42.21486,10.08186,95878,True,92.61665,3
20260507-134110,1778162829,2026-05-07 14:07:09+00:00,1778162829000,1557,26.33719,41.98854,10.08214,100540,True,88.94055,3
20260507-134110,1778162843,2026-05-07 14:07:23+00:00,1778162843000,1571,26.39252,41.82747,10.08209,100600,True,87.98822,3
20260507-134110,1778162855,2026-05-07 14:07:35+00:00,1778162855000,1583,26.31184,42.18742,10.08203,94496,True,104.30753,3
20260507-134110,1778162867,2026-05-07 14:07:47+00:00,1778162867000,1595,26.33466,42.04086,10.0823,98182,True,96.10939,3
20260507-134110,1778162879,2026-05-07 14:07:59+00:00,1778162879000,1607,26.33212,41.99808,10.08206,100964,True,88.50792,3
20260507-134110,1778162891,2026-05-07 14:08:11+00:00,1778162891000,1619,26.33466,41.95766,10.08205,102321,True,84.0132,3
20260507-134110,1778162903,2026-05-07 14:08:23+00:00,1778162903000,1631,26.33973,41.92131,10.08215,103586,True,80.92122,3
20260507-134110,1778162914,2026-05-07 14:08:34+00:00,1778162914000,1642,26.25099,42.48988,10.08202,92923,True,87.98485,3
20260507-134110,1778162927,2026-05-07 14:08:47+00:00,1778162927000,1655,26.3566,42.15798,10.08231,94579,True,91.96211,3
20260507-134110,1778162939,2026-05-07 14:08:59+00:00,1778162939000,1667,26.3093,42.15323,10.08222,93130,True,109.05855,3
20260507-134110,1778162951,2026-05-07 14:09:11+00:00,1778162951000,1679,26.32198,41.96161,10.08202,98413,True,97.51723,3
20260507-134110,1778162963,2026-05-07 14:09:23+00:00,1778162963000,1691,26.32959,41.94294,10.08223,100721,True,89.17123,3
20260507-134110,1778162975,2026-05-07 14:09:35+00:00,1778162975000,1703,26.33212,41.9678,10.08224,102634,True,83.64709,3
20260507-134110,1778162987,2026-05-07 14:09:47+00:00,1778162987000,1715,26.33466,42.00488,10.08216,102823,True,81.66,3
20260507-134110,1778162999,2026-05-07 14:09:59+00:00,1778162999000,1727,26.33973,42.00763,10.08236,103843,True,79.14761,3
20260507-134110,1778163011,2026-05-07 14:10:11+00:00,1778163011000,1739,26.34227,41.98737,10.08228,103908,True,78.16263,3
20260507-134110,1778163158,2026-05-07 14:12:38+00:00,1778163158000,1886,26.24338,42.46023,10.08239,59259,True,216.16939,2
20260507-134110,1778163186,2026-05-07 14:13:06+00:00,1778163186000,1914,26.31147,42.21614,10.08246,64707,True,208.6696,2
20260507-134110,1778163198,2026-05-07 14:13:18+00:00,1778163198000,1926,26.24591,42.33891,10.08251,68688,True,200.10275,2
