session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
19200530-065424,-OrRNPKuSHpJSA3TBuAc,2026-04-30 03:14:40+00:00,1777518880000,120,25.85103,38.36006,1009.13,30980,True,,
19200530-065424,-OrRNRnIoFQB8mWqGnGP,2026-04-30 03:14:50+00:00,1777518890000,130,25.84754,38.23362,1009.13,31924,True,,
19200530-065424,-OrRNY8Tojyc1O1WElGx,2026-04-30 03:15:00+00:00,1777518900000,140,25.84533,38.74404,1009.13,32443,True,,
19200530-065424,-OrRNYHQb_6uN6EC8xVj,2026-04-30 03:15:16+00:00,1777518916000,157,25.84184,38.8644,1009.13,30866,True,,
19200530-065424,-OrRN_jcnMfzxsk0blft,2026-04-30 03:15:26+00:00,1777518926000,167,25.83994,38.46212,1009.13,32468,True,,
19200530-065424,-OrRNcEHjPuIaetDiXZs,2026-04-30 03:15:36+00:00,1777518936000,177,25.83994,38.39903,1009.14001,33668,True,,
19200530-065424,-OrRNfigPdoDD7JfPI8n,2026-04-30 03:15:46+00:00,1777518946000,187,25.84089,39.18093,1009.14001,34442,True,,
19200530-065424,-OrRNh36hH3csJFZQwx4,2026-04-30 03:15:56+00:00,1777518956000,197,25.84342,38.53135,1009.14001,35432,True,,
19200530-065424,-OrRNjVEwFmAXtZ46Cle,2026-04-30 03:16:06+00:00,1777518966000,207,25.84564,38.21051,1009.14001,35980,True,,
19200530-065424,-OrRNlwXkiEVzbGpN2Rl,2026-04-30 03:16:16+00:00,1777518976000,217,25.84976,38.41727,1009.15002,35372,True,,
19200530-065424,-OrRNoNGU-iivxkeaHl4,2026-04-30 03:16:26+00:00,1777518986000,227,25.85293,40.18226,1009.15002,35734,True,,
19200530-065424,-OrRNqp0PfwlSQwrV1I4,2026-04-30 03:16:36+00:00,1777518996000,237,25.85832,39.37307,1009.15997,36898,True,,
19200530-065424,-OrRNtGQGjA-y4_5cjOV,2026-04-30 03:16:46+00:00,1777519006000,247,25.86561,40.08509,1009.15997,36449,True,,
19200530-065424,-OrRNvhoUydLRfdmgevX,2026-04-30 03:16:56+00:00,1777519016000,257,25.87068,39.63424,1009.15997,37865,True,,
19200530-065424,-OrRNy8SF4y7UMmqPF8u,2026-04-30 03:17:06+00:00,1777519026000,267,25.87195,38.73536,1009.15997,38350,True,,
19200530-065424,-OrRO-aF1AfKR8OjTB6n,2026-04-30 03:17:16+00:00,1777519036000,277,25.87131,38.58594,1009.15997,38847,True,,
19200530-065424,-OrRO21rbQgnyTH7Pl6S,2026-04-30 03:17:26+00:00,1777519046000,287,25.87163,38.27051,1009.15997,39432,True,,
19200530-065424,-OrRO4Uc8kQbB_Mj7H4m,2026-04-30 03:17:36+00:00,1777519056000,297,25.87005,38.17296,1009.15997,39769,True,,
19200530-065424,-OrRO6v0Bo5gCDgbCijT,2026-04-30 03:17:46+00:00,1777519066000,307,25.8767,38.81634,1009.15997,39920,True,,
19200530-065424,-OrRO9LwqI6GJkmuGOlL,2026-04-30 03:17:56+00:00,1777519076000,317,25.88843,39.34744,1009.15997,39882,True,,
19200530-065424,-OrROBmupTpu1I0MXVWN,2026-04-30 03:18:06+00:00,1777519086000,327,25.90364,39.47604,1009.15997,40266,True,,
19200530-065424,-OrROEEeVaKDKtpwmjhS,2026-04-30 03:18:16+00:00,1777519096000,337,25.9141,38.48138,1009.15997,40775,True,,
19200530-065424,-OrROGfbg0Knip1VStGC,2026-04-30 03:18:26+00:00,1777519106000,347,25.92044,38.66578,1009.15997,40974,True,,
19200530-065424,-OrROJ7i6W4tK4lnlp-j,2026-04-30 03:18:36+00:00,1777519116000,357,25.93249,38.66704,1009.16998,40617,True,,
19200530-065424,-OrROLZ_77Yljifa9aJX,2026-04-30 03:18:46+00:00,1777519126000,367,25.94358,39.42258,1009.16998,41135,True,,
19200530-065424,-OrROP4OgoDwnKcbsjgr,2026-04-30 03:18:56+00:00,1777519136000,377,25.95214,39.70659,1009.16998,41297,True,,
19200530-065424,-OrROQS9mWDTQBapU2hX,2026-04-30 03:19:06+00:00,1777519146000,387,25.95499,39.59706,1009.16998,41297,True,,
19200530-065424,-OrROTFaUeKasfizIGxZ,2026-04-30 03:19:17+00:00,1777519157000,397,25.95404,39.1584,1009.17999,40974,True,,
19200530-065424,-OrROVQW3uR-9kyyo8xr,2026-04-30 03:19:27+00:00,1777519167000,407,25.95657,38.73854,1009.19,41666,True,,
19200530-065424,-OrROXrNHxGqXEaf8EFp,2026-04-30 03:19:37+00:00,1777519177000,417,25.9645,38.37767,1009.17999,42127,True,,
19200530-065424,-OrRO_IV-yVrilzIR0J_,2026-04-30 03:19:47+00:00,1777519187000,427,25.97052,38.52174,1009.17999,42598,True,,
19200530-065424,-OrROblZULJQTow2mu7f,2026-04-30 03:19:57+00:00,1777519197000,437,25.97876,38.09841,1009.17999,42903,True,,
19200530-065424,-OrROeAslpTf9pzgL9LE,2026-04-30 03:20:07+00:00,1777519207000,447,25.98922,38.78798,1009.17999,42127,True,,
19200530-065424,-OrROgbu18P9A01Hk6LW,2026-04-30 03:20:17+00:00,1777519217000,457,25.99809,40.16904,1009.19,42728,True,,
19200530-065424,-OrROj5T7HjNhoK0isZD,2026-04-30 03:20:27+00:00,1777519227000,467,26.00158,38.50778,1009.19,43168,True,,
19200530-065424,-OrROlXDF4jGQLy7SFR2,2026-04-30 03:20:37+00:00,1777519237000,477,26.00602,37.98106,1009.19,43754,True,,
19200530-065424,-OrROnwo2DzwhA18tGBw,2026-04-30 03:20:47+00:00,1777519247000,487,26.0076,37.72971,1009.19,43938,True,,
19200530-065424,-OrROqOvhQ0PT8kDpVC0,2026-04-30 03:20:57+00:00,1777519257000,497,26.0076,37.65548,1009.17999,44497,True,,
19200530-065424,-OrROsqCXXSeXN0JBWpO,2026-04-30 03:21:07+00:00,1777519267000,507,26.00697,37.66112,1009.19,44639,True,,
19200530-065424,-OrROvHjJjwieKpQ6RKi,2026-04-30 03:21:17+00:00,1777519277000,517,26.00538,37.80376,1009.19,43257,True,,
19200530-065424,-OrROxi0cKyg5d0J90Sa,2026-04-30 03:21:27+00:00,1777519287000,527,26.00697,39.06609,1009.19,44262,True,,
19200530-065424,-OrRP-9kg9xinO1TH8cg,2026-04-30 03:21:37+00:00,1777519297000,537,26.00475,38.18129,1009.19,44687,True,,
19200530-065424,-OrRP1bVvs3GHssuMOKt,2026-04-30 03:21:47+00:00,1777519307000,547,26.00095,37.97482,1009.19,45071,True,,
19200530-065424,-OrRP4Blol2LiwdOSNmh,2026-04-30 03:21:57+00:00,1777519317000,557,25.99492,37.81981,1009.19,45266,True,,
19200530-065424,-OrRP6TqKFOVtlYliAPg,2026-04-30 03:22:07+00:00,1777519327000,567,25.987,37.80185,1009.20001,45611,True,,
